cargo,desde,fuente_inicio,tweet_inicio,causa_fin,hasta,sucesora,tweet_fin,fuente_fin,persona_genero,persona_nombre,persona_twitter,entidad_dependencia,entidad_eleccion_mae,entidad_nombre,entidad_tipo,entidad_sigla,entidad_twitter,entidad_webpage,entidad_desde,entidad_fuente_inicio,entidad_hasta,entidad_sucesoras
Presidente del Estado Plurinacional de Bolivia,2020-11-08,https://www.pagina12.com.ar/304486-bolivia-luis-arce-asume-la-presidencia,,,,,,,Hombre,Luis Alberto Arce Catacora,@LuchoXBolivia,,elección popular,Presidencia del Estado,Otro,,,,,,,
Vicepresidente del Estado Plurinacional de Bolivia,2020-11-08,https://correodelsur.com/politica/20201108_vice-anuncia-un-nuevo-tiempo-y-pide-ya-no-mas-judicializacion-de-la-politica.html,,,,,,,Hombre,David Choquehuanca Céspedes,@LaramaDavid,,elección popular,Vicepresidencia del Estado,Otro,VPEP,@VPEP_Bol,,,,,
Ministro de Relaciones Exteriores,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Rogelio Mayta Mayta,@RogelioMayta_Bo,Presidencia del Estado,designación,Ministerio de Relaciones Exteriores,Ministerio,MRE,@MRE_Bolivia,,,,,
Ministro de Educación y Culturas,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,Renuncia,2021-11-12,['rec3ktIis7X99wugJ'],https://twitter.com/BoliviaMaes/status/1459554606602768387,https://www.la-razon.com/sociedad/2021/11/12/el-ministro-de-educacion-renuncia-tras-ser-imputado-por-el-caso-designaciones/,Hombre,Adrián Quelca Tarqui,@QuelcaAdrian,Presidencia del Estado,designación,Ministerio de Educación,Ministerio,ME,@minedubol,,,,,
Ministro de Medio Ambiente y Agua,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Juan Santos Cruz,,Presidencia del Estado,designación,Ministerio de Medio Ambiente y Agua,Ministerio,MMAyA,@AmbienteyAgua,,,,,
Ministra de Planificación del Desarrollo,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,Renuncia,2022-06-09,['recagPKLAJY0sLJLm'],https://twitter.com/BoliviaMaes/status/1535158024255463430,https://www.la-razon.com/nacional/2022/06/09/arce-posesiona-a-sergio-cusicanqui-como-nuevo-ministro-de-planificacion/,Mujer,Felima Gabriela Mendoza,,Presidencia del Estado,designación,Ministerio de Planificación del Desarrollo,Ministerio,MPD,@minplanifica,,,,,
Ministro de Desarrollo Rural y Tierras,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,https://twitter.com/BoliviaMaes/status/1333887395478069256,Destitución,2020-12-01,['recvIwUlY2hrATL5k'],https://twitter.com/BoliviaMaes/status/1333887395478069256,https://www.bolivia.com/actualidad/politica/luis-arce-destituye-ministro-caceres-involucrado-en-escandalo-nepotismo-287817,Hombre,Wilson Cáceres Cárdenas,,Presidencia del Estado,designación,Ministerio de Desarrollo Rural y Tierras,Ministerio,MDRyT,@MDRyTOficial,,,,,
Ministro de Desarrollo Productivo,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Néstor Huanca Chura,@Nestor_HuancaCh,Presidencia del Estado,designación,Ministerio de Desarrollo Productivo y Economía Plural,Ministerio,MDPyEP,@MDPyEPBolivia,,,,,
"Ministra de Trabajo, Empleo y Previsión Social",2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Mujer,Verónica Patricia Navia Tejada,@NaviaTejerina,Presidencia del Estado,designación,"Ministerio de Trabajo, Empleo y Previsión Social",Ministerio,MTEPS,@MinTrabajoBol,,,,,
Ministro de Hidrocarburos,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Franklin Molina,,Presidencia del Estado,designación,Ministerio de Hidrocarburos y Energías,Ministerio,MHE,@Bolivia_MHE,,,,,
Ministro de Gobierno,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Carlos Eduardo del Castillo del Carpio,@EDelCastilloDC,Presidencia del Estado,designación,Ministerio de Gobierno,Ministerio,MG,@MindeGobierno,,,,,
Ministro de Justicia y Transparencia Institucional,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Iván Manolo Lima Magne,@ivanlimamagne,Presidencia del Estado,designación,Ministerio de Justicia y Transparencia Institucional,Ministerio,MJ,@MinJusticiaBol,,,,,
Ministra de la Presidencia,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Mujer,María  Nela Prada Tejada,,Presidencia del Estado,designación,Ministerio de la Presidencia,Ministerio,MP,@MinPresidencia,,,,,
Ministro de Economía y Finanzas Públicas,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Marcelo Alejandro Montenegro García,,Presidencia del Estado,designación,Ministerio de Economía y Finanzas Públicas,Ministerio,MEFP,@EconomiaBo,,,,,
Ministro de Salud,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,Renuncia,2021-01-16,['recVy6qaqPBhY2yLs'],https://twitter.com/BoliviaMaes/status/1350556194595876864,https://www.lostiempos.com/actualidad/pais/20210116/posesionan-jeyson-marcos-auza-como-nuevo-ministro-salud,Hombre,Edgar Pozo Valdivia,@Edgarpozoval,Presidencia del Estado,designación,Ministerio de Salud y Deportes,Ministerio,MSD,@SaludDeportesBo,,,,,
Ministro de Minería y Metalurgia,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Ramiro Félix Villavicencio Nina Guzmán,,Presidencia del Estado,designación,Ministerio de Minería y Metalurgia,Ministerio,MMM,@minmineriabo,,,,,
Ministro de Defensa,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Edmundo Novillo,@Ed_Novillo,Presidencia del Estado,designación,Ministerio de Defensa,Ministerio,MD,@mindefbolivia,,,,,
Ministro de Obras Públicas Servicios y Vivienda,2020-11-09,https://eldeber.com.bo/politica/quien-es-quien-en-el-gabinete-de-luis-arce-conoce-el-perfil-de-los-16-ministros-que-lo-conforman_208065,,,,,,,Hombre,Edgar Montaño Rojas,@EMontanoRojas,Presidencia del Estado,designación,"Ministerio de Obras Públicas, Servicios y Vivienda",Ministerio,MOPSV,@mopsv_Bolivia,,,,,
Viceministro de Coordinación con Movimientos Sociales,2020-11-12,https://www.lostiempos.com/actualidad/pais/20201112/gabriela-alcon-es-nueva-viceministra-comunicacion-juan-villca-coordinacion ,https://mobile.twitter.com/BoliviaMaes/status/1326993065945526272,,,,,,Hombre,Juan Villca,,Ministerio de la Presidencia,designación,Viceministerio de Coordinación con Movimientos Sociales,Viceministerio,,,,,,,
Viceministro de Descolonización,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/ministro-de-justicia-posesiona-cinco-nuevos-viceministros-274696.html,https://mobile.twitter.com/BoliviaMaes/status/1327093489939714049,Supresión de la entidad,2020-11-20,['rec6N2HNTBByviXYS'],,,Hombre,Pelagio Condori Yana,,Ministerio de Justicia y Transparencia Institucional,designación,Viceministerio de Descolonización,Viceministerio,,,,,,2020-11-20,Viceministerio de Descolonización y Despatriarcalización
Viceministra de Igualdad de Oportunidades,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/ministro-de-justicia-posesiona-cinco-nuevos-viceministros-274696.html,https://mobile.twitter.com/BoliviaMaes/status/1327051254019870721,,,,,,Mujer,Miriam Julieta Huacani Zapana,,Ministerio de Justicia y Transparencia Institucional,designación,Viceministerio de Igualdad de Oportunidades,Viceministerio,,,,,,,
Viceministra de Pensiones y Servicios Financieros,2020-11-13,http://erbol.com.bo/nacional/acuden-exfuncionarios-para-ocupar-cargos-de-viceministros-en-econom%C3%ADa,https://mobile.twitter.com/BoliviaMaes/status/1327096732317085696,,,,,,Mujer,Ivette Espinoza Vásquez,,Ministerio de Economía y Finanzas Públicas,designación,Viceministerio de Pensiones y Servicios Financieros,Viceministerio,,,,,,,
Viceministra de Comunicación,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/gabriela-alcon-es-nombrada-viceministra-de-comunicacion-274688.html,https://mobile.twitter.com/BoliviaMaes/status/1327047625577820164,,,,,,Mujer,Gabriela Alcón Merubia,@GabrielaAlconM,Ministerio de la Presidencia,designación,Viceministerio de Comunicación,Viceministerio,,@vicemincom,,,,,
Viceministro de Defensa Civil,2020-11-13,https://www.la-razon.com/nacional/2020/11/12/el-exministro-juan-carlos-calvimontes-nuevo-viceministro-de-defensa-civil/,https://twitter.com/BoliviaMaes/status/1327169942895128576,,,,,,Hombre,Juan Carlos Calvimontes,,Ministerio de Defensa,designación,Viceministerio de Defensa Civil,Viceministerio,,,,,,,
Presidente de Impuestos Nacionales,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/mario-cazon-retorna-la-presidencia-de-impuestos-nacionales-274698.html,https://mobile.twitter.com/BoliviaMaes/status/1327046912059580421,,,,,,Hombre,Mario Cazón Morales,,Ministerio de Economía y Finanzas Públicas,designación,Impuestos Nacionales,Otro,SIN,@sinbolivia,,,,,
Viceministro de Coordinación y Gestión Gubernamental,2020-11-13,https://twitter.com/LaRazon_Bolivia/status/1327322323377119232,https://twitter.com/BoliviaMaes/status/1327332161565896704,Destitución,2022-05-14,['recqqH3IMJAmwgeuf'],https://twitter.com/BoliviaMaes/status/1525579335607910400,https://www.la-razon.com/nacional/2022/05/14/torrico-asume-como-viceministro-de-coordinacion-gubernamental-en-lugar-de-bobaryn/,Hombre,Freddy Martín Bobaryn López,@fbobaryn,Ministerio de la Presidencia,designación,Viceministerio de Coordinación y Gestión Gubernamental,Viceministerio,,,,,,,
Viceministro de Justicia y Derechos Fundamentales,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/ministro-de-justicia-posesiona-cinco-nuevos-viceministros-274696.html,https://mobile.twitter.com/BoliviaMaes/status/1327050453197189120,,,,,,Hombre,César Adalid Siles Bazán,,Ministerio de Justicia y Transparencia Institucional,designación,Viceministerio de Justicia y Derechos Fundamentales,Viceministerio,,,,,,,
Viceministro de Presupuesto y Contabilidad Fiscal,2020-11-13,http://erbol.com.bo/nacional/acuden-exfuncionarios-para-ocupar-cargos-de-viceministros-en-econom%C3%ADa,https://mobile.twitter.com/BoliviaMaes/status/1327095981566009344,,,,,,Hombre,Zenón Pedro Mamani Ticona,,Ministerio de Economía y Finanzas Públicas,designación,Viceministerio de Presupuesto y Contabilidad Fiscal,Viceministerio,,,,,,,
Viceministro de Defensa de los Derechos del Usuario y Consumidor,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/ministro-de-justicia-posesiona-cinco-nuevos-viceministros-274696.html,https://mobile.twitter.com/BoliviaMaes/status/1327051769881505792,,,,,,Hombre,Felipe Jorge Silva Trujillo,@jorgecambio,Ministerio de Justicia y Transparencia Institucional,designación,Viceministerio de Defensa de los Derechos del Usuario y Consumidor,Viceministerio,VDDUC,@consumidorbo,,,,,
Viceministro de Política Tributaria,2020-11-13,http://erbol.com.bo/nacional/acuden-exfuncionarios-para-ocupar-cargos-de-viceministros-en-econom%C3%ADa,https://mobile.twitter.com/BoliviaMaes/status/1327095255221612545,,,,,,Hombre,Jhonny Cristian Morales Coronel,,Ministerio de Economía y Finanzas Públicas,designación,Viceministerio de Política Tributaria,Viceministerio,,,,,,,
Viceministra de Transparencia Institucional y Lucha contra la Corrupción,2020-11-13,https://www.paginasiete.bo/nacional/2020/11/12/ministro-de-justicia-posesiona-cinco-nuevos-viceministros-274696.html,https://mobile.twitter.com/BoliviaMaes/status/1327092510678769666,,,,,,Mujer,Julia Susana Ríos Laguna,,Ministerio de Justicia y Transparencia Institucional,designación,Viceministerio de Transparencia Institucional y Lucha contra la Corrupción,Viceministerio,,@V_Transparencia,,,,,
Procurador General del Estado,2020-11-13,https://eldeber.com.bo/pais/wilfredo-chavez-asume-como-procurador-general-del-estado-y-arce-le-encomienda-tres-acciones_208428,https://twitter.com/BoliviaMaes/status/1327170593410650115,,,,,,Hombre,Wilfredo Franz David Chávez Serrano,@wichaser,Presidencia del Estado,elección asamblea plurinacional,Procuraduría General del Estado,Otro,PGE,@PGE_Bolivia,,,,,
Viceministro de Tesoro y Crédito Público,2020-11-13,http://erbol.com.bo/nacional/acuden-exfuncionarios-para-ocupar-cargos-de-viceministros-en-econom%C3%ADa,https://mobile.twitter.com/BoliviaMaes/status/1327094066505535488,Renuncia,2022-06-09,['recBvKlOdyt2Y0en1'],https://twitter.com/BoliviaMaes/status/1535157327132868608,https://www.la-razon.com/nacional/2022/06/09/arce-posesiona-a-sergio-cusicanqui-como-nuevo-ministro-de-planificacion/,Hombre,Sergio Armando Cusicanqui Loayza,,Ministerio de Economía y Finanzas Públicas,designación,Viceministerio de Tesoro y Crédito Público,Viceministerio,,,,,,,
Presidente del Banco Central de Bolivia,2020-11-13,http://erbol.com.bo/nacional/edwin-rojas-ulo-jura-como-nuevo-presidente-del-banco-central-de-bolivia,https://mobile.twitter.com/BoliviaMaes/status/1327048145554051083,,,,,,Hombre,Edwin Rojas Ulo,,Ministerio de Economía y Finanzas Públicas,designación,Banco Central de Bolivia,Otro,BCB,@BancoCentralBO,https://www.bcb.gob.bo/,,,,
Viceministro de Defensa Social y Sustancias Controladas,2020-11-14,https://www.paginasiete.bo/seguridad/2020/11/13/jaime-mamani-es-viceministro-de-defensa-social-sustancias-controladas-274813.html,https://twitter.com/BoliviaMaes/status/1327370051951976449,,,,,,Hombre,Jaime Mamani Espíndola,,Ministerio de Defensa,designación,Viceministerio de Defensa Social y Sustancias Controladas,Viceministerio,,,,,,,
Presidente de la Administradora Boliviana de Carreteras (ABC),2020-11-14,https://twitter.com/noticiasfides/status/1327386120871620608,https://twitter.com/BoliviaMaes/status/1327390470503346176,,,,,,Hombre,Henry Nina Calle,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Administradora Boliviana de Carreteras,Otro,ABC,,,,,,
Comandante en Jefe Accidental de las Fuerzas Armadas,2020-11-17,https://www.paginasiete.bo/nacional/2020/11/16/arce-posesiona-al-alto-mando-militar-de-las-ffaa-275065.html,https://twitter.com/BoliviaMaes/status/1328377952434855938,Destitución,2020-12-29,['recZcuZkLhWpazk5q'],,,Hombre,Jaime Alberto Zabala Saldías,,Presidencia del Estado,designación,Fuerzas Armadas,Otro,,@ComandoLas,,,,,
Directora General del Servicio General de Identificación Personal,2020-11-17,https://www.la-razon.com/nacional/2020/11/17/hermosa-es-directora-del-segip-y-se-plantea-eliminar-las-filas/https://www.la-razon.com/nacional/2020/11/17/hermosa-es-directora-del-segip-y-se-plantea-eliminar-las-filas/,https://twitter.com/BoliviaMaes/status/1328725113118846979,,,,,,Mujer,Patricia Hermosa,@PatyHermosaG,Ministerio de Gobierno,designación,Servicio General de Identificación Personal,Otro,SEGIP,@OficialSegip,,,,,
